No,Bulan,Konsumen,Kode Produk,Nama Produk,Stock Ready,Jumlah Barang,Jlh barang,Harga,Jumlah Harga,,,
1,2020-01,Rumah Sakit Umum SUNDARI,NPG055,"MELOXICAM 7,5 MG TABLET 100'S","1,436",5 BOX,5,"12,500","62,500",,,
2,2020-01,Rumah Sakit Umum SUNDARI,ZNT033,ZELONA TABLET 100'S,"1,584",100 BOX,100,"21,750","2,175,000",,,
3,2020-01,"ANUGRAH, APT",AFI011,RESPROXOL (Ambroxol HCl 15 mg) SYRUP 60 ML,854,300 BTL,300,"3,200","960,000",,,
4,2020-01,"ANUGRAH, APT",NPH003,NOVABIOTIC 500 MG KAPLET 100's,280,12 BOX,12,"58,000","696,000",,,
5,2020-01,"ANUGRAH, APT",NPH043,ROSIDON 10 MG TABLET 100's,787,60 BOX,60,"18,000","1,080,000",,,
6,2020-01,"ANUGRAH, APT",NPH083,GRICIN 125 MG TABLET 100's,540,6 BOX,6,"32,500","195,000",,,
7,2020-01,"ANUGRAH, APT",RAM005,ERYRA SYRUP 60 ML,784,50 BTL,50,"13,500","675,000",,,
8,2020-01,"ANUGRAH, APT",SOL004,SOLPENOX 125 MG SYRUP 60 ML,"2,504",240 BTL,240,"4,750","1,140,000",,,
9,2020-01,"ANUGRAH, APT",TRM011,OVTELIS 20 MG TABLET 100'S,"2,843",10 BOX,10,"15,500","155,000",,,
10,2020-01,"ANUGRAH, APT",TRM039,ANOLIC (Allopurinol 300 mg) TABLET 100'S,445,20 BOX,20,"39,500","790,000",,,
11,2020-01,"MEDICA JAYA FARMA, APTK",AFI011,RESPROXOL (Ambroxol HCl 15 mg) SYRUP 60 ML,854,200 BTL,200,"3,200","640,000",,,
12,2020-01,"MEDICA JAYA FARMA, APTK",ERG024,DOMPERIDONE SUSPENSI 60 ML,750,200 BTL,200,"3,350","670,000",,,
13,2020-01,"MEDICA JAYA FARMA, APTK",LAN001,"LANADEXON 0,5 MG KALPET 100'S",300,100 BOX,100,"12,000","1,200,000",,,
14,2020-01,"MEDICA JAYA FARMA, APTK",SPD003,"CARBIDU 0,5 MG TABLET 200'S",595,100 BOX,100,"23,500","2,300,000",,,
15,2020-01,"MEDICA JAYA FARMA, APTK",SPD004,MEXON TABLET 100'S,368,100 BOX,100,"20,000","2,000,000",,,
