Bulan,Konsumen,Kode Produk,Nama Produk,Jumlah,Satuan,
JANUARI 2020,Rumah Sakit Umum SUNDARI,NPG055,"MELOXICAM 7,5 MG TABLET 100'S",5,BOX,
JANUARI 2020,Rumah Sakit Umum SUNDARI,ZNT033,ZELONA TABLET 100'S,100,BOX,
JANUARI 2020,"ANUGRAH, APT",AFI011,RESPROXOL (Ambroxol HCl 15 mg) SYRUP 60 ML,300,BTL,
JANUARI 2020,"ANUGRAH, APT",NPH003,NOVABIOTIC 500 MG KAPLET 100's,12,BOX,
JANUARI 2020,"ANUGRAH, APT",NPH043,ROSIDON 10 MG TABLET 100's,60,BOX,
JANUARI 2020,"ANUGRAH, APT",NPH083,GRICIN 125 MG TABLET 100's,6,BOX,
JANUARI 2020,"ANUGRAH, APT",RAM005,ERYRA SYRUP 60 ML,50,BTL,
JANUARI 2020,"ANUGRAH, APT",SOL004,SOLPENOX 125 MG SYRUP 60 ML,240,BTL,
JANUARI 2020,"ANUGRAH, APT",TRM011,OVTELIS 20 MG TABLET 100'S,10,BOX,
JANUARI 2020,"ANUGRAH, APT",TRM039,ANOLIC (Allopurinol 300 mg) TABLET 100'S,20,BOX,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",AFI011,RESPROXOL (Ambroxol HCl 15 mg) SYRUP 60 ML,200,BTL,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",ERG024,DOMPERIDONE SUSPENSI 60 ML,200,BTL,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",LAN001,"LANADEXON 0,5 MG KALPET 100'S",100,BOX,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",SPD003,"CARBIDU 0,5 MG TABLET 200'S",100,BOX,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",SPD004,MEXON TABLET 100'S,100,BOX,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),100,POT,
JANUARI 2020,"MEDICA JAYA FARMA, APTK",YKT001,PACETIK 500 MG KAPLET 100's,100,BOX,
JANUARI 2020,"TETAP SEMANGAT, APTK",NPG057,CETIRIZINE HYDROCHLORIDE 10 MG TABLET 100'S,20,BOX,
JANUARI 2020,"TETAP SEMANGAT, APTK",NPH006,NOVAGESIC SYRUP 60 ML,60,BTL,
JANUARI 2020,"TETAP SEMANGAT, APTK",RAG011,ANTASIDA DOEN TABLET 100'S,30,BOX,
JANUARI 2020,"TETAP SEMANGAT, APTK",RAM052,BROXOLIC 15 MG SYRUP 60 ML,50,BTL,
JANUARI 2020,"TETAP SEMANGAT, APTK",YKT022,YEKAPRIM SYRUP 60 ML,100,BTL,
JANUARI 2020,"MITRA MULTI MANUNGGAL, PT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,400,BOX,
JANUARI 2020,"MITRA MULTI MANUNGGAL, PT",NPH009,NOVAMAG TABLET 100's,132,BOX,
JANUARI 2020,"MITRA MULTI MANUNGGAL, PT",NPH027,"NOVADEX 0,5 MG TABLET 200's",144,BOX,
JANUARI 2020,"MITRA MULTI MANUNGGAL, PT",SOL002,ORPHEN 4 MG KAPLET 200'S,60,BOX,
JANUARI 2020,"MARI SEHAT, APOTEK",NPG024,PIROXICAM 20 MG TABLET 100's,136,BOX,
JANUARI 2020,"MARI SEHAT, APOTEK",NPG040,AMBROXOL 30 MG TABLET 100'S,100,BOX,
JANUARI 2020,"MARI SEHAT, APOTEK",TRMG003,PREDNISON 5 MG TABLET 100'S,50,BOX,
JANUARI 2020,"RAIFAN FARMA, APTK",NPG018,IBUPROFEN 400 MG TABLET 100'S,20,BOX,
JANUARI 2020,"RAIFAN FARMA, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,30,BOX,
JANUARI 2020,"RAIFAN FARMA, APTK",NPH013,NOVAXICAM 20 MG KAPSUL 100's,20,BOX,
JANUARI 2020,"RAIFAN FARMA, APTK",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,120,BTL,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,500,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",ERG007,PARACETAMOL 500 MG KAPLET 100'S,200,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",ERT001,ETABION KAPSUL 100'S,200,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,30,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",ERT021,ETAMOX 500 MG KAPLET 100'S,50,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPG018,IBUPROFEN 400 MG TABLET 100'S,396,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPG040,AMBROXOL 30 MG TABLET 100'S,544,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPG052,PIROXICAM 10 MG TABLET 100'S,136,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPG054,MELOXICAM 15 MG TABLET 100'S,136,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPG055,"MELOXICAM 7,5 MG TABLET 100'S",136,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPH006,NOVAGESIC SYRUP 60 ML,300,BTL,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPH055,NOVAGESIC KAPLET 100'S (POT),100,POT,
